district_name,macro_zone,year,listings,avg_price_per_sqm,median_price_per_sqm,centroid_lat,centroid_lon
Адмиралтейский,Центр,2018,3370,125617.0,119636.0,59.917,30.3
Адмиралтейский,Центр,2019,6209,147211.0,137363.0,59.917,30.3
Адмиралтейский,Центр,2020,7491,160455.0,146953.0,59.917,30.3
Адмиралтейский,Центр,2021,1921,204002.0,203083.0,59.917,30.3
Василеостровский,Центр,2018,2472,130421.0,128571.0,59.94,30.265
Василеостровский,Центр,2019,7009,144034.0,141234.0,59.94,30.265
Василеостровский,Центр,2020,5606,160174.0,153755.0,59.94,30.265
Василеостровский,Центр,2021,1379,195115.0,186620.0,59.94,30.265
Выборгский,Север,2018,4045,99289.0,97458.0,60.05,30.31
Выборгский,Север,2019,11860,109268.0,107895.0,60.05,30.31
Выборгский,Север,2020,21329,121164.0,120132.0,60.05,30.31
Выборгский,Север,2021,4087,147301.0,146512.0,60.05,30.31
Калининский,Север,2018,4084,100430.0,101474.0,60.02,30.42
Калининский,Север,2019,12140,103438.0,99804.0,60.02,30.42
Калининский,Север,2020,13560,115454.0,109753.0,60.02,30.42
Калининский,Север,2021,4429,141246.0,134500.0,60.02,30.42
Кировский,Юг,2018,1825,109325.0,108763.0,59.88,30.27
Кировский,Юг,2019,3261,108659.0,106383.0,59.88,30.27
Кировский,Юг,2020,2950,120803.0,116667.0,59.88,30.27
Кировский,Юг,2021,740,147125.0,142857.0,59.88,30.27
Колпинский,Пригород,2018,665,76156.0,74074.0,59.74,30.59
Колпинский,Пригород,2019,2175,82050.0,80574.0,59.74,30.59
Колпинский,Пригород,2020,2354,98954.0,91100.0,59.74,30.59
Колпинский,Пригород,2021,503,115782.0,115269.0,59.74,30.59
Красногвардейский,Северо-восток,2018,3406,105497.0,100000.0,59.95,30.46
Красногвардейский,Северо-восток,2019,9216,108688.0,104713.0,59.95,30.46
Красногвардейский,Северо-восток,2020,10679,119645.0,116667.0,59.95,30.46
Красногвардейский,Северо-восток,2021,2352,148225.0,141328.0,59.95,30.46
Красносельский,Юго-запад,2018,3649,96862.0,93146.0,59.84,30.13
Красносельский,Юго-запад,2019,12966,106258.0,103411.0,59.84,30.13
Красносельский,Юго-запад,2020,14203,113577.0,110842.0,59.84,30.13
Красносельский,Юго-запад,2021,3774,137738.0,136830.0,59.84,30.13
Кронштадтский,Пригород,2018,173,88497.0,82809.0,60.0,29.77
Кронштадтский,Пригород,2019,589,96409.0,90909.0,60.0,29.77
Кронштадтский,Пригород,2020,922,125302.0,131222.0,60.0,29.77
Кронштадтский,Пригород,2021,201,145786.0,141750.0,60.0,29.77
Курортный,Пригород,2018,394,102075.0,96663.0,60.18,29.96
Курортный,Пригород,2019,1088,113019.0,105562.0,60.18,29.96
Курортный,Пригород,2020,882,126798.0,116953.0,60.18,29.96
Курортный,Пригород,2021,205,178414.0,160164.0,60.18,29.96
Московский,Юг,2018,3756,111209.0,109902.0,59.86,30.32
Московский,Юг,2019,13020,120533.0,116667.0,59.86,30.32
Московский,Юг,2020,17753,131448.0,125875.0,59.86,30.32
Московский,Юг,2021,4108,169018.0,161903.0,59.86,30.32
Невский,Восток,2018,6182,108972.0,103181.0,59.88,30.45
Невский,Восток,2019,11954,111711.0,110178.0,59.88,30.45
Невский,Восток,2020,14979,124221.0,122603.0,59.88,30.45
Невский,Восток,2021,4918,156172.0,158000.0,59.88,30.45
Петроградский,Центр,2018,4510,146923.0,126472.0,59.96,30.3
Петроградский,Центр,2019,13341,161296.0,137500.0,59.96,30.3
Петроградский,Центр,2020,27027,168523.0,153457.0,59.96,30.3
Петроградский,Центр,2021,8023,205028.0,190000.0,59.96,30.3
Петродворцовый,Пригород,2018,469,81698.0,78182.0,59.88,29.91
Петродворцовый,Пригород,2019,1673,95357.0,90981.0,59.88,29.91
Петродворцовый,Пригород,2020,3078,119185.0,109725.0,59.88,29.91
Петродворцовый,Пригород,2021,437,132167.0,122739.0,59.88,29.91
Приморский,Север,2018,7503,117273.0,111650.0,60.0,30.27
Приморский,Север,2019,21549,121412.0,116279.0,60.0,30.27
Приморский,Север,2020,25026,136324.0,131652.0,60.0,30.27
Приморский,Север,2021,7417,171371.0,167740.0,60.0,30.27
Пушкинский,Пригород,2018,1447,88073.0,86022.0,59.72,30.4
Пушкинский,Пригород,2019,5313,91220.0,89286.0,59.72,30.4
Пушкинский,Пригород,2020,5526,100112.0,99490.0,59.72,30.4
Пушкинский,Пригород,2021,1528,124294.0,122000.0,59.72,30.4
Фрунзенский,Юг,2018,2401,116816.0,107500.0,59.87,30.38
Фрунзенский,Юг,2019,5840,113569.0,111742.0,59.87,30.38
Фрунзенский,Юг,2020,6195,125226.0,122148.0,59.87,30.38
Фрунзенский,Юг,2021,1529,154629.0,148649.0,59.87,30.38
Центральный,Центр,2018,3669,138853.0,122529.0,59.93,30.36
Центральный,Центр,2019,6661,154372.0,137368.0,59.93,30.36
Центральный,Центр,2020,6532,175028.0,154064.0,59.93,30.36
Центральный,Центр,2021,3768,243162.0,263043.0,59.93,30.36
