year_month,object_type_label,listings,avg_price_per_sqm,median_price_per_sqm,total_volume_bn_rub
2018-02,Новостройка,1,73245.0,73245.0,0.0
2018-03,Новостройка,1,115756.0,115756.0,0.0
2018-04,Новостройка,3,79774.0,73034.0,0.0
2018-05,Новостройка,2,122283.0,122283.0,0.0
2018-06,Вторичка,1,85301.0,85301.0,0.0
2018-06,Новостройка,1,74144.0,74144.0,0.0
2018-07,Новостройка,7,99666.0,111301.0,0.0
2018-08,Вторичка,4,96257.0,90475.0,0.0
2018-08,Новостройка,6,109964.0,114102.0,0.0
2018-09,Вторичка,2962,105813.0,96823.0,19.0
2018-09,Новостройка,17302,120244.0,111664.0,140.0
2018-10,Вторичка,4093,115107.0,101282.0,32.0
2018-10,Новостройка,7872,109507.0,103846.0,54.0
2018-11,Вторичка,4006,113071.0,106048.0,28.0
2018-11,Новостройка,7815,109222.0,103858.0,53.0
2018-12,Вторичка,4449,117132.0,105263.0,32.0
2018-12,Новостройка,5495,110694.0,105428.0,39.0
2019-01,Вторичка,3097,120745.0,107784.0,25.0
2019-01,Новостройка,5747,113361.0,107547.0,43.0
2019-02,Вторичка,4102,116988.0,108986.0,29.0
2019-02,Новостройка,7494,116744.0,109375.0,57.0
2019-03,Вторичка,4678,115217.0,109132.0,32.0
2019-03,Новостройка,7540,117324.0,110861.0,57.0
2019-04,Вторичка,3577,116366.0,110122.0,25.0
2019-04,Новостройка,7948,118549.0,111318.0,62.0
2019-05,Вторичка,3768,117737.0,110714.0,28.0
2019-05,Новостройка,7015,118798.0,111818.0,53.0
2019-06,Вторичка,4524,117612.0,109381.0,33.0
2019-06,Новостройка,6504,120874.0,111111.0,50.0
2019-07,Вторичка,4754,120359.0,114475.0,35.0
2019-07,Новостройка,7262,120268.0,113184.0,56.0
2019-08,Вторичка,5825,117300.0,111000.0,42.0
2019-08,Новостройка,7304,121306.0,113793.0,55.0
2019-09,Вторичка,6148,115616.0,108170.0,42.0
2019-09,Новостройка,7910,120830.0,112954.0,59.0
2019-10,Вторичка,5360,121160.0,113492.0,38.0
2019-10,Новостройка,7674,120875.0,113831.0,58.0
2019-11,Вторичка,7735,136605.0,117500.0,75.0
2019-11,Новостройка,8211,130543.0,116667.0,77.0
2019-12,Вторичка,5755,122970.0,111485.0,43.0
2019-12,Новостройка,5932,121980.0,114503.0,46.0
2020-01,Вторичка,5080,122546.0,117257.0,37.0
2020-01,Новостройка,6153,122591.0,115747.0,46.0
2020-02,Вторичка,8607,126765.0,119642.0,65.0
2020-02,Новостройка,7815,126649.0,118605.0,66.0
2020-03,Вторичка,14524,127106.0,119000.0,112.0
2020-03,Новостройка,11294,130561.0,119650.0,102.0
2020-04,Вторичка,6207,133716.0,124911.0,50.0
2020-04,Новостройка,7165,128980.0,121372.0,56.0
2020-05,Вторичка,7442,130172.0,124158.0,58.0
2020-05,Новостройка,7266,129742.0,120968.0,59.0
2020-06,Вторичка,7978,130783.0,122500.0,62.0
2020-06,Новостройка,9806,128731.0,120624.0,78.0
2020-07,Вторичка,8500,135823.0,125611.0,67.0
2020-07,Новостройка,12436,130043.0,122222.0,101.0
2020-08,Вторичка,3434,138618.0,131532.0,27.0
2020-08,Новостройка,7029,132216.0,123342.0,56.0
2020-09,Вторичка,6807,144328.0,135494.0,59.0
2020-09,Новостройка,10128,134059.0,124000.0,84.0
2020-10,Вторичка,7819,150324.0,141517.0,69.0
2020-10,Новостройка,8380,135766.0,126660.0,72.0
2020-11,Вторичка,5733,161534.0,146851.0,57.0
2020-11,Новостройка,6799,140768.0,131314.0,61.0
2020-12,Вторичка,5120,158526.0,150057.0,47.0
2020-12,Новостройка,4570,149283.0,137704.0,44.0
2021-01,Вторичка,2185,164447.0,152788.0,22.0
2021-01,Новостройка,2707,150925.0,141350.0,25.0
2021-02,Вторичка,4068,171034.0,160000.0,41.0
2021-02,Новостройка,4585,158174.0,148352.0,46.0
2021-03,Вторичка,6797,174891.0,162610.0,70.0
2021-03,Новостройка,8209,160510.0,150273.0,81.0
2021-04,Вторичка,9600,191516.0,174146.0,112.0
2021-04,Новостройка,11810,168441.0,156667.0,128.0
2021-05,Вторичка,567,191444.0,171824.0,6.0
2021-05,Новостройка,791,173298.0,159880.0,9.0
